date,Actual_Sales,Train_Forecast,Test_Forecast,Train_Residuals,Test_Residuals
2020-01-31,57885.0,66397.56610729468,,-8512.566107294682,
2020-02-29,57922.0,66493.03967648122,,-8571.039676481218,
2020-03-31,61000.0,66600.51978701068,,-5600.519787010679,
2020-04-30,64097.0,67049.37672441252,,-2952.3767244125193,
2020-05-31,64573.0,67400.50135894165,,-2827.5013589416485,
2020-06-30,63140.0,67292.66464825382,,-4152.66464825382,
2020-07-31,63546.0,67139.45813737153,,-3593.4581373715337,
2020-08-31,62387.0,67339.35494971875,,-4952.354949718749,
2020-09-30,62303.0,67566.3594659599,,-5263.359465959904,
2020-10-31,61887.0,67608.77269314765,,-5721.77269314765,
2020-11-30,62798.0,67898.62808450169,,-5100.628084501688,
2020-12-31,62749.0,68060.33635215898,,-5311.336352158978,
2021-01-31,63472.0,68284.73663969807,,-4812.736639698065,
2021-02-28,63821.0,68365.26542674357,,-4544.265426743572,
2021-03-31,64006.0,68601.34726066649,,-4595.347260666487,
2021-04-30,64604.0,68674.73749269536,,-4070.7374926953635,
2021-05-31,65195.0,68870.19383605127,,-3675.1938360512722,
2021-06-30,65814.0,69050.81844128115,,-3236.8184412811534,
2021-07-31,65850.0,69194.95041897577,,-3344.9504189757718,
2021-08-31,67509.0,69315.47608302919,,-1806.4760830291925,
2021-09-30,67771.0,69530.62948642558,,-1759.629486425576,
2021-10-31,68142.0,69732.88838683443,,-1590.8883868344274,
2021-11-30,68218.0,69729.45939453412,,-1511.4593945341185,
2021-12-31,68824.0,69934.0448032017,,-1110.0448032017011,
2022-01-31,69283.0,70075.34027168484,,-792.3402716848359,
2022-02-28,69294.0,70279.08349938956,,-985.0834993895551,
2022-03-31,70083.0,70368.9063099761,,-285.90630997609696,
2022-04-30,70380.0,70553.59494446451,,-173.59494446450844,
2022-05-31,71182.0,70743.34580437679,,438.6541956232104,
2022-06-30,71725.0,70866.36109088373,,858.638909116271,
2022-07-31,71705.0,71065.63174484682,,639.368255153182,
2022-08-31,71934.0,71137.12307682532,,796.8769231746846,
2022-09-30,72470.0,71281.41906534701,,1188.580934652986,
2022-10-31,73214.0,71486.83833807935,,1727.161661920647,
2022-11-30,73438.0,71667.2502073361,,1770.7497926639044,
2022-12-31,73347.0,71796.76526995338,,1550.2347300466208,
2023-01-31,72793.0,71885.01966455608,,907.9803354439209,
2023-02-28,73572.0,72002.28227697857,,1569.7177230214293,
2023-03-31,73158.0,72215.51472586449,,942.4852741355135,
2023-04-30,72913.0,72406.66240837201,,506.33759162799106,
2023-05-31,72807.0,72436.93073519193,,370.06926480807306,
2023-06-30,72732.0,72667.9016035539,,64.09839644610474,
2023-07-31,72878.0,72813.08873658042,,64.91126341957715,
2023-08-31,73463.0,72991.21954871665,,471.7804512833536,
2023-09-30,73448.0,73190.39121099294,,257.608789007063,
2023-10-31,73472.0,73332.95732259555,,139.0426774044463,
2023-11-30,73656.0,73432.9092625403,,223.0907374597009,
2023-12-31,73465.0,73624.04608883995,,-159.04608883995388,
2024-01-31,73296.0,,76169.44289232664,,-2873.4428923266387
2024-02-29,73341.0,,76316.61960168247,,-2975.619601682469
2024-03-31,73617.0,,76509.97170402204,,-2892.971704022042
2024-04-30,74099.0,,76655.41136955579,,-2556.41136955579
2024-05-31,74024.0,,76815.54432490774,,-2791.544324907736
2024-06-30,74138.0,,76964.72983207044,,-2826.729832070443
2024-07-31,74892.0,,77122.80384881425,,-2230.8038488142483
2024-08-31,74559.0,,77276.25145846758,,-2717.251458467581
2024-09-30,75140.0,,77432.56136172164,,-2292.561361721644
2024-10-31,75403.0,,77586.90577409955,,-2183.9057740995486
2024-11-30,75235.0,,77742.43335912889,,-2507.4333591288887
2024-12-31,76036.0,,77897.23250860299,,-1861.2325086029887
